id_cli,nomb_cli,apell_cli,tip_doc,num_doc,fec_nac,fec_alta,cod_segmento,score_buro,ciudad_res,depto_res,estado_cli,canal_adquis
CLI000001,Alejandro,Salcedo,TI,4747746068,1994-01-06,2025-04-17,ELITE,687,Cartagena,Quindío,INACTIVO,APP
CLI000002,Ferney,Rodríguez,CE,2813247090,1950-09-11,2022-09-25,ESTANDAR,392,Cartagena,Cundinamarca,ACTIVO,CORRESPONSAL
CLI000003,Arley,Flórez,CE,456861739,1957-03-27,2022-09-21,ELITE,349,Ibagué,Meta,INACTIVO,APP
CLI000004,Mateo,Castillo,CE,4655053524,2008-07-04,2023-04-21,ELITE,594,Cali,Cundinamarca,INACTIVO,CORRESPONSAL
CLI000005,John,Correa,CE,698402118,1991-02-17,2017-07-15,PREMIUM,602,Ibagué,Atlántico,INACTIVO,APP
CLI000006,María,Lozano,TI,6011873494,2002-05-28,2019-04-25,PREMIUM,940,Medellín,San Andrés y Providencia,ACTIVO,CORRESPONSAL
CLI000007,Juan,Díaz,CC,9183319144,1959-01-29,2025-05-04,ESTANDAR,769,Armenia,Atlántico,INACTIVO,APP
CLI000008,Sofía,Martínez,TI,2518509490,2003-12-17,2021-11-25,PREMIUM,312,Barranquilla,San Andrés y Providencia,ACTIVO,APP
CLI000009,Luz,Medina,CE,4229283810,1989-04-15,2024-01-23,ELITE,483,Cali,Tolima,INACTIVO,APP
CLI000010,María,Beltrán,TI,9969327841,2008-01-03,2024-05-24,BASICO,785,Cartagena,Quindío,INACTIVO,Pagina WEB
CLI000011,Jorge,López,CC,3986300842,1955-05-19,2021-03-12,ESTANDAR,888,Cartagena,Cundinamarca,INACTIVO,APP
CLI000012,Carlos,Álvarez,TI,3136792909,1995-10-17,2022-02-22,BASICO,309,Fusagasugá,Bolívar,ACTIVO,Pagina WEB
CLI000013,Karen,Mejía,CC,1364429850,1982-04-11,2022-04-22,BASICO,464,Armenia,Atlántico,INACTIVO,OFICINA
CLI000014,Duván,Hernández,TI,9652222386,1961-04-13,2019-11-18,ESTANDAR,494,Bogotá,Antioquia,ACTIVO,Pagina WEB
CLI000015,María,Toro,CC,1160067295,1971-08-26,2024-12-07,ELITE,538,San Andrés,Valle del Cauca,INACTIVO,OFICINA
CLI000016,Marcela,Campo,CC,438433505,2006-08-31,2016-10-14,BASICO,313,Cali,Cundinamarca,ACTIVO,CORRESPONSAL
CLI000017,Andrés,Torres,CC,1687003685,1962-01-19,2018-08-17,BASICO,643,San Andrés,Cundinamarca,INACTIVO,OFICINA
CLI000018,Hernán,Osorio,TI,9271877150,1999-08-12,2026-06-13,ESTANDAR,553,Cali,Cundinamarca,INACTIVO,OFICINA
CLI000019,Omar,Giraldo,CC,16114430,1956-02-11,2025-06-07,PREMIUM,387,Bogotá,Valle del Cauca,ACTIVO,APP
CLI000020,María,Cortés,CC,3725441082,1993-06-18,2022-02-02,PREMIUM,669,Cartagena,Tolima,ACTIVO,CORRESPONSAL
CLI000021,Rosa,Peña,CE,9176856373,1991-09-04,2021-08-03,ESTANDAR,748,Cali,Cundinamarca,INACTIVO,APP
CLI000022,Iván,Díaz,CC,7594935376,1986-08-15,2019-05-28,ELITE,803,Barranquilla,Valle del Cauca,ACTIVO,Pagina WEB
CLI000023,Alexis,Gómez,CE,3793244490,1979-11-13,2024-07-03,ELITE,356,Cali,Tolima,INACTIVO,OFICINA
CLI000024,Alexander,Díaz,TI,385054011,1970-05-28,2023-09-27,ELITE,907,Bogotá,Meta,INACTIVO,CORRESPONSAL
CLI000025,Carmen,Gutiérrez,CC,1363931507,1993-07-12,2022-06-13,PREMIUM,615,Villavicencio,Bolívar,ACTIVO,CORRESPONSAL
CLI000026,Ernesto,Romero,CE,3429416152,1994-07-03,2018-01-17,PREMIUM,872,Barranquilla,Cundinamarca,ACTIVO,CORRESPONSAL
CLI000027,Luis,Rodríguez,CE,785548619,1985-08-14,2023-09-03,ELITE,909,Villavicencio,Antioquia,ACTIVO,CORRESPONSAL
CLI000028,Wilson,Narváez,CC,5688217856,1990-11-25,2018-09-10,BASICO,385,Cartagena,Antioquia,ACTIVO,APP
CLI000029,Marcela,Arias,TI,2465520800,2002-08-10,2019-08-05,PREMIUM,868,Bogotá,Cundinamarca,ACTIVO,Pagina WEB
CLI000030,Héctor,Martínez,CC,1409856932,1953-06-30,2017-11-06,BASICO,595,Barranquilla,San Andrés y Providencia,ACTIVO,OFICINA
CLI000031,Sandra,Roa,CE,3377384444,1964-04-24,2022-01-03,ELITE,647,Fusagasugá,San Andrés y Providencia,INACTIVO,Pagina WEB
CLI000032,Gloria,Henao,CC,2185572741,1965-11-29,2020-09-09,BASICO,672,Cali,Atlántico,INACTIVO,Pagina WEB
CLI000033,Carlos,Molano,CE,6890198799,1963-12-17,2017-02-04,ELITE,690,Medellín,Cundinamarca,INACTIVO,APP
CLI000034,Aura,Peña,CC,2223591460,1958-03-18,2018-01-15,ELITE,384,Cali,Cundinamarca,INACTIVO,OFICINA
CLI000035,Óscar,Guevara,CC,6412312664,1967-01-17,2017-02-04,BASICO,771,Ibagué,Bolívar,ACTIVO,Pagina WEB
CLI000036,José,Rivera,TI,5199547716,2008-06-17,2020-12-06,ESTANDAR,780,Cali,Atlántico,ACTIVO,Pagina WEB
CLI000037,Guillermo,Ocampo,CE,4771649224,1963-01-03,2026-07-11,PREMIUM,648,Barranquilla,Bolívar,INACTIVO,CORRESPONSAL
CLI000038,Lucía,Bedoya,CE,2168721114,1962-01-02,2026-01-23,BASICO,906,San Andrés,Quindío,ACTIVO,APP
CLI000039,Juan,León,TI,6100799046,1971-01-07,2020-12-23,ELITE,819,Villavicencio,Antioquia,INACTIVO,CORRESPONSAL
CLI000040,José,Martínez,CC,3639751435,1966-09-27,2023-09-11,ELITE,865,Cartagena,Antioquia,INACTIVO,CORRESPONSAL
CLI000041,Patricia,Marín,CC,8655972713,1957-07-03,2024-11-07,PREMIUM,597,Cartagena,Antioquia,INACTIVO,Pagina WEB
CLI000042,Yuly,Montenegro,TI,1659959968,1988-08-16,2019-10-24,ELITE,372,Fusagasugá,Cundinamarca,INACTIVO,OFICINA
CLI000043,Diana,Ramírez,CC,5062607423,1945-09-23,2023-07-23,ESTANDAR,396,San Andrés,Antioquia,ACTIVO,Pagina WEB
CLI000044,Yeison,Calderón,CC,4779335073,1983-10-03,2019-11-01,ELITE,809,Medellín,Tolima,ACTIVO,CORRESPONSAL
CLI000045,Paola,Ruiz,TI,3848501646,1961-10-15,2021-11-18,PREMIUM,452,San Andrés,Cundinamarca,ACTIVO,OFICINA
CLI000046,Felipe,Loaiza,CE,6054428620,1981-12-16,2019-12-15,ESTANDAR,644,Cartagena,Cundinamarca,INACTIVO,Pagina WEB
CLI000047,Edison,Rentería,TI,7379619551,1959-05-28,2018-07-03,BASICO,854,Bogotá,Meta,INACTIVO,OFICINA
CLI000048,Javier,Molina,CC,3735922236,1954-08-08,2025-04-05,ESTANDAR,475,Barranquilla,Antioquia,ACTIVO,CORRESPONSAL
CLI000049,Gustavo,Alarcón,TI,4536257040,2001-12-12,2017-06-01,PREMIUM,372,Medellín,Tolima,ACTIVO,OFICINA
CLI000050,Aura,Castillo,TI,8828615183,2008-05-09,2017-12-23,PREMIUM,502,Fusagasugá,Antioquia,INACTIVO,OFICINA
CLI000051,Carlos,Torres,CE,5021963038,1984-11-02,2019-05-22,ELITE,518,Ibagué,Bolívar,INACTIVO,APP
CLI000052,León,Quintero,TI,9811513202,2001-11-30,2023-07-06,ESTANDAR,606,Bogotá,Cundinamarca,ACTIVO,Pagina WEB
CLI000053,Juan,Álvarez,CC,7940129268,1952-11-01,2023-01-31,PREMIUM,527,San Andrés,Antioquia,INACTIVO,CORRESPONSAL
CLI000054,María,Rincón,CC,7866777624,1976-03-03,2025-01-04,ELITE,817,Barranquilla,Meta,ACTIVO,CORRESPONSAL
CLI000055,Luz,Ariza,CC,4064604302,1981-08-28,2021-09-21,ESTANDAR,880,Villavicencio,Tolima,INACTIVO,CORRESPONSAL
CLI000056,Jhon,Salazar,TI,6866545524,1967-05-24,2018-03-16,ESTANDAR,560,Barranquilla,Cundinamarca,ACTIVO,OFICINA
CLI000057,Camilo,López,CC,2427785015,1953-08-16,2026-01-15,ELITE,898,San Andrés,Tolima,INACTIVO,APP
CLI000058,Leonardo,Delgado,CC,7333961091,1995-08-22,2026-01-02,ELITE,791,Cali,Meta,INACTIVO,OFICINA
CLI000059,Anyi,Mercado,CC,8884751787,1946-08-15,2020-08-11,BASICO,328,Bogotá,Valle del Cauca,INACTIVO,CORRESPONSAL
